path,suffix,size_bytes,evidence_type,columns_or_keys,rows
artifacts/day13/edge_case_report.json,.json,424,json,"generated_at, dataset_scope, edge_case_counts, critical_issues, warnings, top_unmapped, milestone1_ready",
artifacts/day13/mapping_audit.json,.json,5686,json,"generated_at, dataset_scope, files_checked, split_like_files, total_records, total_tokens, mapping_summary, namespace_summary, edge_case_counts, top_unmapped, top_unknown_namespace_examples, top_malformed_examples, top_other_examples, top_duplicate_examples, critical_issues, warnings, milestone1_ready",
artifacts/day13/mapping_audit.md,.md,3821,text,,
artifacts/day20/day20_supervised_eval_summary.json,.json,489,unknown,,
artifacts/day25/day25_comparison_summary.json,.json,1849,json,"status, run1, run2, summary, note",
artifacts/day25/day25_run1_summary.json,.json,694,json,"status, rows_scored, mean_sdet, mean_sont, mean_scal, key_findings, note",
artifacts/day27/mimiciv_train_diffusion_summary.json,.json,874,json,"input_path, out_pt, sequence_column, rows_before_filter, rows_after_filter, dropped_empty_rows, vocab_size, max_len, truncate_strategy, loader_view, tensor_shapes, batch_shapes, sequence_length_stats",
artifacts/day27/mimiciv_val_diffusion_summary.json,.json,864,json,"input_path, out_pt, sequence_column, rows_before_filter, rows_after_filter, dropped_empty_rows, vocab_size, max_len, truncate_strategy, loader_view, tensor_shapes, batch_shapes, sequence_length_stats",
artifacts/day29/day29_smoke_summary.json,.json,768,json,"status, artifact_path, summary_path, device_used, input_shape, attention_mask_shape, vocab_size, max_len, model, training_loss, surprise_score_shape, surprise_score_mean, sampled_embeddings_shape, sampled_ids_shape",
artifacts/day30/day30_diffusion_training_summary.json,.json,651,json,"status, day, title, out_dir, epochs, global_steps, first_epoch_loss, last_epoch_loss, best_epoch, best_loss, loss_decreased, artifacts",
artifacts/day31/mimiciv_train_diffusion_summary.json,.json,874,json,"input_path, out_pt, sequence_column, rows_before_filter, rows_after_filter, dropped_empty_rows, vocab_size, max_len, truncate_strategy, loader_view, tensor_shapes, batch_shapes, sequence_length_stats",
artifacts/day33/mimiciv_val_vocab.summary.json,.json,2447,json,"input_path, sequence_column, rows_used, vocab_size, top_tokens, out_vocab",
artifacts/day34/day34_assessment.json,.json,1309,json,"day, status, main_findings, interpretation, recommended_next_fix",
artifacts/day34/day34_generative_eval_summary.json,.json,5766,json,"day, title, status, inputs, dataset_summary, device_used, model_load_error, generated_source, sgen_method, sgen_error, num_real_records, num_generated_records, distribution_metrics, cooccurrence_metrics, record_jaccard_metrics, sgen_separation, outputs",
artifacts/day34_final/day34_final_assessment.json,.json,1478,json,"day, status, checkpoint_alignment, main_sgen_result, interpretation, decision_for_day35, evidence_files",
artifacts/day35/calibrated_scores.csv,.csv,6235059,csv,"source, anomaly_type, label, prob_anomaly, Sdet_raw, Sdet, Sont_proxy, Sgen, Scal",71503.0
artifacts/day35/day35_calibrated_scoring_summary.json,.json,2736,json,"day, status, detector_scores_csv, detector_score_column, rows, label_counts, scoring_formula, signals, detector_only, sont_proxy_only, sgen_only, best_calibrated, ranking_quality, outputs",
artifacts/day35_5/anomaly_type_breakdown_independent_sont.csv,.csv,517,csv,"anomaly_type, count, label_rate, mean_Sdet, mean_Sont_independent, mean_Scal_independent, mean_violation_count",4.0
artifacts/day35_5/day35_5_scientific_summary.json,.json,4644,json,"day, status, scientific_goal, no_leakage_policy, train_rows, val_rows, calibration_rows, heldout_evaluation_rows, rule_learning, best_weights_from_calibration, calibration_metrics, heldout_evaluation, interpretation_for_paper, outputs",
artifacts/day35_5/val_independent_sont_scores.csv,.csv,102541090,csv,"label, source, anomaly_type, sequence_tokens, Sdet_raw, Sdet, Sont_independent_raw, Sont_independent, Sont_independent_violation_count, Sont_independent_violations, Sgen, Sont_oracle_proxy_reference, Scal_independent",71503.0
artifacts/day35_6/anomaly_type_breakdown_curated_sont.csv,.csv,499,csv,"anomaly_type, count, label_rate, mean_Sdet, mean_Sont_curated, mean_Scal_curated, flagged_rate",4.0
artifacts/day35_6/curated_rule_hit_summary.csv,.csv,376,csv,"rule, count, precision",6.0
artifacts/day35_6/day35_6_scientific_summary.json,.json,5658,json,"day, status, scientific_goal, no_leakage_policy, val_rows, calibration_rows, heldout_evaluation_rows, best_weights_from_calibration, calibration_metrics, heldout_evaluation, heldout_flag_metrics, full_validation_flag_metrics, interpretation_for_paper, outputs",
artifacts/day35_6/val_curated_sont_scores.csv,.csv,84465650,csv,"label, source, anomaly_type, sequence_tokens, Sdet_raw, Sdet, Sont_curated_raw, Sont_curated, Sont_curated_hits, Sgen, Sont_oracle_proxy_reference, Scal_curated",71503.0
artifacts/day35_7/day35_7_scientific_summary.json,.json,14871,json,"day, status, goal, input_scores, modes, best_mode, calibration_results, heldout_results, per_rule_precision_summary_top, interpretation_for_paper, outputs",
artifacts/day35_7/paper_claim_summary.md,.md,1902,text,,
artifacts/day35_7/per_rule_precision_summary.csv,.csv,1060,csv,"rule, count, precision, recall_proxy, anomaly_type_counts",6.0
artifacts/day35_7/strict_sont_ablation_scores.csv,.csv,86676470,csv,"label, source, anomaly_type, sequence_tokens, Sdet_raw, Sdet, Sont_curated_raw, Sont_curated, Sont_curated_hits, Sgen, Sont_oracle_proxy_reference, Scal_curated, Sont_all_raw, Sont_all, Sont_no_noisy_raw, Sont_no_noisy, Sont_strict_raw, Sont_strict, Sont_strong_weighted_raw, Sont_strong_weighted",71503.0
artifacts/day36/counterfactuals.csv,.csv,43954378,csv,"row_index, label, anomaly_type, input_score, status, edit_count, edits_text, original_violation_score, counterfactual_violation_score, delta_violation_score, resolved_violation_count, original_code_count, counterfactual_code_count, edits_json, original_violations_json, counterfactual_violations_json, original_codes_json, counterfactual_codes_json, explanation",16442.0
artifacts/day36/paper_ready_summary.json,.json,1631,json,"day, status, method, input, n_records_processed, improved_records, improvement_rate, no_candidate_records, not_improved_records, mean_edit_count, mean_delta_violation_score, one_edit_success_rate, status_counts, anomaly_type_status_counts, edit_count_distribution, mean_delta_by_anomaly_type, mean_edit_count_by_anomaly_type, paper_interpretation",
artifacts/day36/summary.json,.json,966,json,"status, input_scores, rows_loaded, rows_processed, improved_records, no_candidate_records, not_improved_records, mean_edit_count, mean_delta_violation_score, one_edit_success_rate, status_counts, anomaly_type_status_counts, artifacts",
artifacts/day36_probe/counterfactuals.csv,.csv,219304,csv,"row_index, label, anomaly_type, input_score, status, edit_count, edits_text, original_violation_score, counterfactual_violation_score, delta_violation_score, resolved_violation_count, original_code_count, counterfactual_code_count, edits_json, original_violations_json, counterfactual_violations_json, original_codes_json, counterfactual_codes_json, explanation",100.0
artifacts/day36_probe/summary.json,.json,938,json,"status, input_scores, rows_loaded, rows_processed, improved_records, no_candidate_records, not_improved_records, mean_edit_count, mean_delta_violation_score, one_edit_success_rate, status_counts, anomaly_type_status_counts, artifacts",
artifacts/day36_probe_v2/counterfactuals.csv,.csv,237643,csv,"row_index, label, anomaly_type, input_score, status, edit_count, edits_text, original_violation_score, counterfactual_violation_score, delta_violation_score, resolved_violation_count, original_code_count, counterfactual_code_count, edits_json, original_violations_json, counterfactual_violations_json, original_codes_json, counterfactual_codes_json, explanation",100.0
artifacts/day36_probe_v2/summary.json,.json,953,json,"status, input_scores, rows_loaded, rows_processed, improved_records, no_candidate_records, not_improved_records, mean_edit_count, mean_delta_violation_score, one_edit_success_rate, status_counts, anomaly_type_status_counts, artifacts",
artifacts/day36_probe_v3/counterfactuals.csv,.csv,252728,csv,"row_index, label, anomaly_type, input_score, status, edit_count, edits_text, original_violation_score, counterfactual_violation_score, delta_violation_score, resolved_violation_count, original_code_count, counterfactual_code_count, edits_json, original_violations_json, counterfactual_violations_json, original_codes_json, counterfactual_codes_json, explanation",100.0
artifacts/day36_probe_v3/summary.json,.json,837,json,"status, input_scores, rows_loaded, rows_processed, improved_records, no_candidate_records, not_improved_records, mean_edit_count, mean_delta_violation_score, one_edit_success_rate, status_counts, anomaly_type_status_counts, artifacts",
artifacts/day36_repair_ready/repair_ready_scores.csv,.csv,127852405,csv,"label, source, anomaly_type, sequence_tokens, Sdet_raw, Sdet, Sont_curated_raw, Sont_curated, Sont_curated_hits, Sgen, Sont_oracle_proxy_reference, Scal_curated, Sont_all_raw, Sont_all, Sont_no_noisy_raw, Sont_no_noisy, Sont_strict_raw, Sont_strict, Sont_strong_weighted_raw, Sont_strong_weighted, expected_code, expected_codes, bad_code, bad_codes, repair_edit_hint, repair_delta_size, codes_original, codes_corrupted, corruption_note, source_row_id",71503.0
artifacts/day36_repair_ready/summary.json,.json,866,json,"scores_path, supervised_path, synth_path, out_path, rows_scores, rows_supervised, rows_synth, rows_synth_anomaly_filtered, normal_rows, matched_exact, matched_sequence_only, unmatched_anomalies, repair_ready_rows, rows_with_expected_code, rows_with_bad_code, repair_edit_hint_counts, repair_match_status_counts",
artifacts/day37/day37_counterfactual_eval_summary.json,.json,4356,json,"day, title, generated_at, input_path, out_dir, rows, columns_detected, score_reduction, sparsity, ontology_resolution, success_threshold, threshold_success, by_anomaly_type, interpretation",
artifacts/day38/day38_final_summary.json,.json,755,json,"day, status, main_summary_source, n_cases, mean_delta_scal, median_delta_scal, pct_positive_reduction, pct_one_or_two_edits, driver_counts, anomaly_type_counts, sgen_policy, paper_note",
artifacts/day38/demo/day38_case_studies.md,.md,3964,text,,
artifacts/day38/demo/day38_explanation_summary.json,.json,949,json,"n_cases, mean_delta_scal, median_delta_scal, pct_positive_reduction, pct_one_or_two_edits, driver_counts, anomaly_type_counts, day, status, input_path, sgen_policy, outputs, paper_interpretation",
artifacts/day38/demo/day38_explanations.csv,.csv,5133,csv,"record_id, anomaly_type, primary_driver, edit_count, s_det, s_gen, s_ont, scal_before, scal_after, delta_scal, relative_reduction_pct, violations_compact, actions_compact, explanation_short, explanation_clinical, explanation_research",3.0
artifacts/day38/real/day38_case_studies.md,.md,61537,text,,
artifacts/day38/real/day38_explanation_summary.json,.json,1009,json,"n_cases, mean_delta_scal, median_delta_scal, pct_positive_reduction, pct_one_or_two_edits, driver_counts, anomaly_type_counts, day, status, input_path, sgen_policy, outputs, paper_interpretation",
artifacts/day38/real/day38_explanations.csv,.csv,83755,csv,"record_id, anomaly_type, primary_driver, edit_count, s_det, s_gen, s_ont, scal_before, scal_after, delta_scal, relative_reduction_pct, violations_compact, actions_compact, explanation_short, explanation_clinical, explanation_research",50.0
artifacts/day39/day39_case_studies.json,.json,13102,json,"summary, cases",
artifacts/day39/day39_case_studies.md,.md,10946,text,,
artifacts/day39/day39_end_to_end_summary.json,.json,553,json,"day, status, source_file, n_source_rows, n_cases, anomaly_types, mean_delta_scal, median_edit_count, coherence_pass_rate, interpretation",
artifacts/day40/ablation_results.csv,.csv,1794,csv,"variant, roc_auc, average_precision, best_threshold, precision, recall, f1, predicted_positive_rate, precision_at_1pct, precision_at_5pct, precision_at_10pct, mean_score_normal, mean_score_anomaly, effect_size_cohen_d",7.0
artifacts/day40/day40_ablation_report.md,.md,2312,text,,
artifacts/day40/day40_ablation_summary.json,.json,1045,json,"generated_at, input_scores, out_dir, rows, positive_rows, negative_rows, column_resolution, best_variant_by_average_precision, best_variant_by_f1, outputs",
artifacts/day40/variant_scores.csv,.csv,13120494,csv,"label, Sdet_norm, Sont_norm, Sgen_norm, Svae_norm, source, anomaly_type, full_model_conservative, no_ontology, no_generative, detector_only, ontology_only, generative_only, vae_replacement_slot",71503.0
artifacts/day41/day41_ablation_results.csv,.csv,1473,csv,"variant, n, positive_rate, threshold, roc_auc, average_precision, precision, recall, f1",9.0
artifacts/day41/day41_ablation_results.md,.md,1715,text,,
artifacts/day41/day41_ablation_summary.json,.json,4084,json,"generated_at, input_scores, rows, label_column, score_columns, best_variant, best_roc_auc, best_average_precision, interpretation, day34_policy_note, results",
artifacts/day41/day41_final_assessment.md,.md,2117,text,,
artifacts/day41/day41_variant_scores.csv,.csv,3242510,csv,"y_true, detector_only, generative_only, no_ontology",71503.0
artifacts/day42/day42_core_system_assessment.json,.json,9157,json,"day, title, generated_at, status, purpose, module_completion, key_scientific_position, known_results, evidence_artifacts, gap_register, readiness_for_next_phase",
artifacts/day42/day42_core_system_assessment.md,.md,3702,text,,
artifacts/day43/day43_profile_summary.json,.json,4115,json,"day, title, status, profiling_mode, input_csv, n_records, repeat, columns, text_columns_used, timings, bottlenecks, optimization_checks, interpretation, files",
artifacts/day44/day44_explanation_normal.json,.json,2185,json,"record_identifier, source_artifact, row_index, label, anomaly_type, risk_band, score_components, interpretation, stored_explanation_text, counterfactual_or_edit_evidence, record_previews",
artifacts/day44/day44_explanation_normal.md,.md,1706,text,,
artifacts/day44/day44_explanation_synthetic_anomaly.json,.json,2070,json,"record_identifier, source_artifact, row_index, label, anomaly_type, risk_band, score_components, interpretation, stored_explanation_text, counterfactual_or_edit_evidence, record_previews",
artifacts/day44/day44_explanation_synthetic_anomaly.md,.md,1878,text,,
artifacts/day45/day45_variant_summary.csv,.csv,792,csv,"variant, n_records, n_positive, n_negative, roc_auc, average_precision, threshold, precision, recall, f1, false_positive_rate, false_negative_rate, selection_strategy",3.0
artifacts/day45/detector_only/flagged_records_preview.csv,.csv,3488,csv,"record_id, y_true, score, source_variant, _score, _y_true, _y_pred, _false_positive, _false_negative",50.0
artifacts/day45/detector_only/threshold_sensitivity.csv,.csv,151490,csv,"threshold, tp, fp, tn, fn, precision, recall, f1, specificity, false_positive_rate, false_negative_rate, accuracy, predicted_positive_rate",800.0
artifacts/day45/generative_only/flagged_records_preview.csv,.csv,1984,csv,"record_id, y_true, score, source_variant, _score, _y_true, _y_pred, _false_positive, _false_negative",50.0
artifacts/day45/generative_only/threshold_sensitivity.csv,.csv,227,csv,"threshold, tp, fp, tn, fn, precision, recall, f1, specificity, false_positive_rate, false_negative_rate, accuracy, predicted_positive_rate",1.0
artifacts/day45/no_ontology/flagged_records_preview.csv,.csv,3400,csv,"record_id, y_true, score, source_variant, _score, _y_true, _y_pred, _false_positive, _false_negative",50.0
artifacts/day45/no_ontology/threshold_sensitivity.csv,.csv,154927,csv,"threshold, tp, fp, tn, fn, precision, recall, f1, specificity, false_positive_rate, false_negative_rate, accuracy, predicted_positive_rate",800.0
artifacts/day46/day46_summary.json,.json,1063,json,"day, title, status, input_scores_csv, rows, label_column, variants, n_boot, seed, best_variant, best_roc_auc, best_average_precision, best_f1, outputs",
artifacts/day46/day46_variant_metrics.csv,.csv,1020,csv,"variant, roc_auc, roc_auc_ci_low, roc_auc_ci_high, average_precision, average_precision_ci_low, average_precision_ci_high, best_threshold, precision, recall, specificity, f1, balanced_accuracy, predicted_positive_rate, score_mean, score_std, score_min, score_max",3.0
